setu,date,home_team,home_victory,home_score,away_team,away_score,home_away,attendance,arena
1,09.29,栃木,win,78,三河,64,home,4012,ブレアリ
1,09.29,三河,lose,64,栃木,78,away,4012,ブレアリ
1,09.29,川崎,lose,76,名古屋D,77,home,3304,とどろき
1,09.29,名古屋D,win,77,川崎,76,away,3304,とどろき
1,09.29,横浜,lose,56,滋賀,73,home,2863,横浜文体
1,09.29,滋賀,win,73,横浜,56,away,2863,横浜文体
1,09.29,琉球,lose,54,SR渋谷,73,home,3621,沖縄市
1,09.29,SR渋谷,win,73,琉球,54,away,3621,沖縄市
1,09.30,横浜,win,76,滋賀,45,home,2788,横浜文体
1,09.30,滋賀,lose,45,横浜,76,away,2788,横浜文体
1,09.30,新潟,win,82,島根,75,home,3926,アオーレ
1,09.30,島根,lose,75,新潟,82,away,3926,アオーレ
1,09.30,琉球,win,65,SR渋谷,53,home,3555,沖縄市
1,09.30,SR渋谷,lose,53,琉球,65,away,3555,沖縄市
1,09.30,富山,win,83,北海道,78,home,3302,富山市総
1,09.30,北海道,lose,78,富山,83,away,3302,富山市総
1,09.30,川崎,win,87,名古屋D,85,home,3897,とどろき
1,09.30,名古屋D,lose,85,川崎,87,away,3897,とどろき
1,09.30,大阪,lose,60,A東京,81,home,4532,府民共済
1,09.30,A東京,win,81,大阪,60,away,4532,府民共済
1,09.30,栃木,lose,70,三河,85,home,4111,ブレアリ
1,09.30,三河,win,85,栃木,70,away,4111,ブレアリ
1,09.30,京都,win,80,三遠,62,home,2324,ハンアリ
1,09.30,三遠,lose,62,京都,80,away,2324,ハンアリ
1,09.30,西宮,lose,70,千葉,86,home,2693,西宮中央
1,09.30,千葉,win,86,西宮,70,away,2693,西宮中央
1,10.01,富山,lose,83,北海道,85,home,2797,富山市総
1,10.01,北海道,win,85,富山,83,away,2797,富山市総
1,10.01,新潟,win,87,島根,55,home,3680,アオーレ
1,10.01,島根,lose,55,新潟,87,away,3680,アオーレ
1,10.01,京都,win,65,三遠,63,home,2427,ハンアリ
1,10.01,三遠,lose,63,京都,65,away,2427,ハンアリ
1,10.01,大阪,lose,65,A東京,68,home,4022,府民共済
1,10.01,A東京,win,68,大阪,65,away,4022,府民共済
1,10.01,西宮,lose,72,千葉,93,home,2497,西宮中央
1,10.01,千葉,win,93,西宮,72,away,2497,西宮中央
2,10.07,三河,win,89,大阪,61,home,2488,WA刈谷
2,10.07,大阪,lose,61,三河,89,away,2488,WA刈谷
2,10.07,名古屋D,lose,77,琉球,91,home,4529,愛知県体
2,10.07,琉球,win,91,名古屋D,77,away,4529,愛知県体
2,10.07,千葉,win,76,京都,63,home,4871,船橋
2,10.07,京都,lose,63,千葉,76,away,4871,船橋
2,10.07,島根,win,80,栃木,72,home,3421,松江総体
2,10.07,栃木,lose,72,島根,80,away,3421,松江総体
2,10.07,SR渋谷,lose,66,三遠,72,home,2502,青山学院
2,10.07,三遠,win,72,SR渋谷,66,away,2502,青山学院
2,10.07,富山,win,72,西宮,68,home,1720,富山県総
2,10.07,西宮,lose,68,富山,72,away,1720,富山県総
2,10.07,滋賀,lose,59,川崎,76,home,2541,ウカル
2,10.07,川崎,win,76,滋賀,59,away,2541,ウカル
2,10.08,島根,lose,68,栃木,75,home,3446,松江総体
2,10.08,栃木,win,75,島根,68,away,3446,松江総体
2,10.08,北海道,win,86,横浜,67,home,5687,北海きた
2,10.08,横浜,lose,67,北海道,86,away,5687,北海きた
2,10.08,富山,win,73,西宮,68,home,1813,富山県総
2,10.08,西宮,lose,68,富山,73,away,1813,富山県総
2,10.08,SR渋谷,lose,54,三遠,64,home,2253,青山学院
2,10.08,三遠,win,64,SR渋谷,54,away,2253,青山学院
2,10.08,三河,win,81,大阪,69,home,2712,WA刈谷
2,10.08,大阪,lose,69,三河,81,away,2712,WA刈谷
2,10.08,名古屋D,lose,81,琉球,85,home,4508,愛知県体
2,10.08,琉球,win,85,名古屋D,81,away,4508,愛知県体
2,10.08,滋賀,lose,78,川崎,81,home,2309,ウカル
2,10.08,川崎,win,81,滋賀,78,away,2309,ウカル
2,10.08,千葉,lose,68,京都,77,home,5163,船橋
2,10.08,京都,win,77,千葉,68,away,5163,船橋
2,10.09,A東京,win,78,新潟,72,home,2837,駒沢
2,10.09,新潟,lose,72,A東京,78,away,2837,駒沢
2,10.09,北海道,win,89,横浜,82,home,3176,北海きた
2,10.09,横浜,lose,82,北海道,89,away,3176,北海きた
2,10.10,A東京,lose,95,新潟,97,home,1789,駒沢
2,10.10,新潟,win,97,A東京,95,away,1789,駒沢
3,10.13,京都,win,65,西宮,61,home,1437,ハンアリ
3,10.13,西宮,lose,61,京都,65,away,1437,ハンアリ
3,10.14,三河,win,82,富山,80,home,2099,WA刈谷
3,10.14,富山,lose,80,三河,82,away,2099,WA刈谷
3,10.14,栃木,lose,70,千葉,76,home,3910,ブレアリ
3,10.14,千葉,win,76,栃木,70,away,3910,ブレアリ
3,10.14,A東京,win,79,横浜,58,home,2638,立川立飛
3,10.14,横浜,lose,58,A東京,79,away,2638,立川立飛
3,10.14,三遠,win,79,新潟,76,home,2738,豊橋
3,10.14,新潟,lose,76,三遠,79,away,2738,豊橋
3,10.14,京都,lose,72,西宮,79,home,1483,ハンアリ
3,10.14,西宮,win,79,京都,72,away,1483,ハンアリ
3,10.14,大阪,lose,72,島根,78,home,1797,府民共済
3,10.14,島根,win,78,大阪,72,away,1797,府民共済
3,10.14,SR渋谷,win,87,名古屋D,81,home,1857,青山学院
3,10.14,名古屋D,lose,81,SR渋谷,87,away,1857,青山学院
3,10.14,琉球,win,84,滋賀,53,home,3221,沖縄市
3,10.14,滋賀,lose,53,琉球,84,away,3221,沖縄市
3,10.15,A東京,win,82,横浜,57,home,1932,立川立飛
3,10.15,横浜,lose,57,A東京,82,away,1932,立川立飛
3,10.15,SR渋谷,win,77,名古屋D,65,home,1919,青山学院
3,10.15,名古屋D,lose,65,SR渋谷,77,away,1919,青山学院
3,10.15,三遠,win,90,新潟,88,home,2777,豊橋
3,10.15,新潟,lose,88,三遠,90,away,2777,豊橋
3,10.15,三河,win,86,富山,68,home,2524,WA刈谷
3,10.15,富山,lose,68,三河,86,away,2524,WA刈谷
3,10.15,大阪,win,84,島根,75,home,2071,府民共済
3,10.15,島根,lose,75,大阪,84,away,2071,府民共済
3,10.15,琉球,win,72,滋賀,63,home,3250,沖縄市
